artist,albumName,folderLink
SuicideBoys,Sing Me a Lullaby My Sweet Temptation,https://dl.dropboxusercontent.com/scl/fi/
,,
trackNumber,title,fileName
1,Genesis,bs8znye4yu4853zp8qem9/UICIDEBOY-GENESIS-Lyric-Video-128.dfpwm?rlkey=qpe3swxywar092jj80e8030sr&st=hf2o4yow&dl=0
2,Matte Black,xnb2v39nqwu2oxjwogek9/UICIDEBOY-MATTE-BLACK-Lyric-Video-128.dfpwm?rlkey=7h4bvnkoidhe6dtanp0hhz7vf&st=yhjj9exb&dl=0
3,Fucking Your Culture,3we0dleonqq4uk2ke4vmv/UICIDEBOY-FUCKING-YOUR-CULTURE-Lyric-Video-128.dfpwm?rlkey=yugr6j19seiu2t3nyirb0dqdy&st=g6wdx6qn&dl=0
4,1000 Blunts,wox6g8sai4f7jzi7pu3y9/UICIDEBOY-1000-BLUNTS-Lyric-Video-128.dfpwm?rlkey=8n7v47gylzykofncbxt8bmeqb&st=7i01xppk&dl=0
5,In Constant Sorrow,cmx8qf2oipdwfntgbmeg1/UICIDEBOY-IN-CONSTANT-SORROW-Lyric-Video-128.dfpwm?rlkey=b5dvwilm0fl8jhe8sixv5emzs&st=q0iseg2t&dl=0
6,Escape from Babylon,4lrub5f0co5w4r2k4zata/UICIDEBOY-Escape-from-BABYLON-Lyric-Video-128.dfpwm?rlkey=w422wnwch0ddzxouoyolt7gys&st=17tr0xlh&dl=0
7,Ashes of Luxury,yh5etll50ymawppkihivc/UICIDEBOY-ASHES-OF-LUXURY-Lyric-Video-128.dfpwm?rlkey=aukegcyg5tjw8md9qx76lf0o8&st=82mt9cz4&dl=0
8,Resistance is Useless,huu4mzqx015x3hwa3expj/UICIDEBOY-RESISTANCE-IS-USELESS-Lyric-Video-128.dfpwm?rlkey=zmrwusul6ff4q9b9xzu2mno2d&st=1czyuaa5&dl=0
9,Eulogy,4q25lixcs68xk98ii2rji/UICIDEBOY-EULOGY-Lyric-Video-128.dfpwm?rlkey=2shiw35t1qhzpmmo64hw4xz04&st=b4snccou&dl=0
10,No Matter Which Direction Im Going In I Never Chase These Hoes,b5fddc0esxa5bw5n8qe0d/UICIDEBOY-NO-MATTER-WHICH-DIRECTION-I-M-GOING-IN-I-NEVER-CHASE-THESE-HOES-Lyric-Video-128.dfpwm?rlkey=e46r3kvjqh3yz7waq0ofc9zb1&st=qdz39f5p&dl=0
11,SuicideBoys Were Better In 2015,zsr6zdzbgq5ej2i4pnb4x/UICIDEBOY-UICIDEBOY-WERE-BETTER-IN-2015-Lyric-Video-128.dfpwm?rlkey=w0le5bgiq51mjk0bv6u1ub0nv&st=q1408f23&dl=0
12,Unlucky Me,z46rekiecdrcj9rdduia3/UICIDEBOY-UNLUCKY-ME-Lyric-Video-128.dfpwm?rlkey=g654dzx2bn9sd3egq6y18un3l&st=6efc3043&dl=0
13,The Evil That Men Do,
